,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
197011,-5.6731,-4.3788,-3.9197,-1.7999,-2.3764,0.5028,0.8438,3.028,5.3895,3.7057,3.0744,3.2801,4.5356,4.9212,1.7221,5.0865,2.7461,6.1479,8.4294,3.8964,5.3097,5.6288,4.8828,6.8157,6.345,0.486666667,5.05
197012,6.1763,6.3433,9.6811,11.3006,9.6336,8.0448,8.491,8.5275,9.5404,9.7926,7.4362,9.739,10.6002,8.3197,8.9176,6.5854,10.8824,8.9463,10.0745,8.4516,5.7793,6.2002,7.652,6.3879,7.6174,0.446666667,6.14
197101,17.5601,19.5649,20.9528,19.4533,19.4835,9.3462,13.8457,13.4238,11.2535,13.1577,8.5017,9.2771,10.9499,8.0399,8.1297,5.7467,7.4515,5.1648,7.8868,14.0649,5.0188,4.8993,3.9815,4.2505,4.9934,0.42,5.22
197102,9.9727,7.9863,7.8596,4.7645,6.013,4.6575,2.2738,2.6149,1.6083,0.9959,4.185,2.1161,2.7505,1.7713,2.2801,3.3246,2.5701,0.2084,2.3182,1.2493,2.6594,0.379,0.5491,0.2989,1.1019,0.376666667,1.74
197103,6.9329,5.9454,6.9772,6.4554,6.3772,6.7902,6.4912,6.1186,3.9372,1.6794,10.0622,9.3389,3.4852,2.8504,4.7475,7.464,5.4578,4.6196,2.1107,3.4349,5.44,3.3451,4.5403,1.2651,2.2066,0.336666667,4.43
197104,1.0155,1.681,3.3427,2.3926,1.4516,1.3775,3.3263,2.1642,3.513,6.5946,5.5805,3.8431,3.9426,2.441,7.421,2.7111,2.6063,1.5307,4.2072,8.9906,4.7505,3.4333,0.606,1.7923,4.7963,0.303333333,3.43
197105,-7.4019,-5.6374,-7.34,-5.3627,-6.7567,-4.5537,-6.4807,-5.0367,-5.1409,-4.5678,-5.0144,-3.3389,-4.829,-3.493,-3.4346,-1.8221,-3.142,-4.2708,-3.2994,-4.0039,-1.4844,-4.4815,-4.2529,-3.7329,-2.6737,0.29,-3.69
197106,-2.2281,-3.3707,-2.7653,-3.5659,-2.6428,0.9108,-2.5901,-0.512,-1.8899,-4.084,-2.1986,1.3109,-2.3839,-1.6773,-2.1041,1.3146,0.6329,2.3113,0.2501,-4.3235,1.7173,1.4732,-0.3826,0.3454,-1.761,0.313333333,0.27
197107,-9.0175,-8.3015,-7.9975,-6.4475,-5.425,-6.6373,-4.6161,-3.53,-6.5252,-5.5445,-7.7222,-3.9973,-3.3214,-5.9525,-4.6936,-3.5166,-3.9647,-4.3535,-4.7577,-7.874,-3.1587,-3.2388,-5.0651,-3.3595,-7.093,0.353333333,-4.1
197108,2.7253,4.8523,2.5946,3.6674,4.2295,4.2703,6.9918,3.3252,6.4104,8.2324,6.1677,4.9057,2.2938,7.5061,8.7315,7.1418,4.9217,2.3662,3.2667,9.847,3.7266,3.7299,1.9516,4.3321,14.6788,0.413333333,4.26
197109,0.2154,0.7499,-0.2763,-0.9114,-1.2964,1.6259,-1.1495,-1.956,-1.8441,-2.8071,0.3674,0.346,-0.4612,-1.2177,-3.1501,1.4615,-1.1762,-0.3128,-0.3105,-4.7229,0.2346,-1.0343,-1.6144,-2.9817,-1.9072,0.413333333,-0.48
197110,-7.9868,-7.4833,-6.8889,-5.0939,-6.6788,-6.4404,-5.5917,-2.4882,-4.7129,-7.1319,-7.8093,-6.7019,-3.0819,-5.0877,-6.0342,-3.8491,-3.2602,-2.407,-5.7784,-6.2734,-4.1481,-5.2074,-5.054,-4.6854,-4.834,0.403333333,-4.05
197111,-4.6313,-5.4048,-4.6149,-4.5007,-5.6133,-2.5859,-1.9326,-2.004,-2.4472,-2.8545,-2.2705,-1.2079,-1.1185,-3.679,-5.2224,0.2137,-1.9765,-2.7219,0.2496,-3.4072,-0.4316,0.7125,-0.9845,-1.4996,1.9188,0.37,-0.09
197112,14.4998,13.9378,10.8635,13.0473,12.781,13.3763,14.6901,13.644,11.3466,12.855,14.9639,9.8909,10.456,12.3963,13.1184,12.9207,10.4996,9.2772,9.0227,12.5403,9.7411,9.59,10.1043,7.5321,9.5826,0.37,9.08
