,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
198504,-2.2095,-1.7681,0.1944,0.3781,0.275,-3.243,-1.2744,-0.1381,2.6702,0.7462,-1.2801,-1.2978,-0.3957,2.704,1.5041,-1.2109,-3.2954,0.5168,0.8883,1.0626,-1.6826,-2.4059,-1.3912,1.3393,3.0329,0.64,-0.24
198505,2.487,4.0405,3.7879,2.6925,1.1057,4.0762,4.1579,3.2253,5.5959,2.9322,6.2102,5.5094,3.1084,4.6204,4.1974,6.604,5.7266,5.6414,4.5954,6.4995,5.6998,7.5155,8.8874,5.3875,4.5905,0.666666667,5.75
198506,0.6524,0.4483,0.804,1.3814,4.5579,0.7502,2.2914,2.4391,3.1309,3.4848,2.5784,1.852,4.3175,2.382,3.3625,1.9547,1.7711,2.2635,3.6311,0.8992,0.6719,2.8834,1.4547,0.2995,2.3283,0.643333333,1.82
198507,2.4073,3.2706,2.296,1.531,2.3026,3.2803,3.5073,5.0697,-0.226,0.3738,1.2257,2.6074,1.4513,0.9514,1.8503,-0.4167,0.3872,1.0437,-2.0401,0.7065,0.5547,-0.3619,-1.9597,-1.5005,-2.3639,0.61,-0.12
198508,-1.5989,-1.175,-0.5829,0.2082,-1.1067,-2.1508,-0.9552,0.7075,0.4173,0.2396,-2.4717,-0.5898,-0.1816,-0.4843,0.4055,-1.7465,-0.3711,1.2011,-0.3777,0.2569,-1.8147,0.0228,-0.5222,0.3951,0.7948,0.573333333,-0.47
198509,-8.051,-5.8035,-4.8793,-3.9114,-4.0583,-7.5858,-6.1727,-3.032,-4.1213,-5.5082,-6.8667,-4.2804,-3.2528,-3.8139,-2.9374,-5.0225,-3.9346,-4.8449,-6.301,-4.9012,-3.6497,-2.4481,-1.8156,-3.2714,-4.0215,0.59,-3.94
198510,0.6743,1.7618,3.6433,3.3791,1.7603,3.8664,3.8564,4.1482,5.6824,2.8155,3.9454,4.2287,4.4067,2.3485,2.8796,5.5758,5.3037,4.258,5.5088,5.58,3.6335,4.4145,4.8369,5.883,6.3014,0.6,4.67
198511,5.4881,6.531,6.3302,5.0665,4.9109,9.3332,7.1632,8.0976,7.2402,6.4363,7.7578,7.2169,5.9233,6.4656,6.5688,8.6318,7.0699,8.3638,5.3853,5.4804,10.0728,8.1687,7.6443,3.9433,4.6884,0.62,7.09
198512,3.6563,5.0954,4.0577,4.04,3.3939,5.232,4.488,5.044,3.9624,0.3317,5.6766,4.638,2.3722,2.7995,5.5238,3.8096,4.5144,2.7826,5.0458,5.1781,6.8785,3.7452,4.9904,3.0815,4.3461,0.636666667,4.53
198601,3.8711,2.2772,2.2318,1.9365,3.018,0.9391,1.8378,1.385,0.2058,2.6045,1.8701,2.7504,1.3216,2.423,3.1114,1.0978,0.6631,1.8114,2.7775,3.5299,0.3743,1.3437,1.5619,-1.4396,1.4471,0.606666667,1.21
198602,5.8976,6.3617,6.5469,8.1286,5.3594,7.8143,7.0026,6.7493,9.5313,3.909,6.9492,9.2649,8.022,6.8808,6.8338,8.0248,9.3568,7.0067,7.2573,7.676,7.5827,10.1226,8.6435,6.4682,7.186,0.58,7.66
198603,4.7413,5.6356,4.9049,4.8311,6.2611,3.7064,5.117,5.87,5.0637,6.3723,4.8645,7.1898,5.2273,6.0713,5.7135,5.4051,5.3486,6.6269,4.0023,4.6333,5.956,7.3229,5.4373,4.8379,4.4592,0.563333333,5.48
198604,2.6617,2.2679,1.4518,0.1573,0.4781,2.2654,2.1653,0.1079,0.8633,-1.9457,2.1779,2.1749,1.0602,1.2828,-1.3828,2.0416,-0.3865,-1.7661,-2.5335,-4.873,0.3246,-0.9775,-2.3218,-2.6988,-2.7394,0.55,-0.79
198605,4.1575,3.4751,4.086,3.8111,4.0323,3.4244,2.4332,5.2332,4.261,2.964,6.1759,4.257,5.9487,5.1543,3.3536,6.3336,3.8806,5.8557,4.1746,4.4338,5.1454,6.3138,3.5581,6.5076,5.6037,0.536666667,5.11
198606,0.1999,-1.3996,-0.4091,1.2624,2.3505,0.5646,0.1334,2.6078,1.6454,2.418,1.1719,-0.6889,2.186,0.4455,2.7352,1.3775,1.0394,0.033,3.9018,1.3992,2.1689,2.0792,1.1353,0.681,2.9899,0.51,1.55
