date,Mkt-RF,SMB,HML,RF,Mkt
197806,-1.69,1.72,0.54,0.54,-1.15
197807,5.11,0.28,-1.15,0.56,5.67
197808,3.75,5.06,-0.44,0.56,4.31
197809,-1.43,-0.4,1.88,0.62,-0.81
197810,-11.91,-9.91,1.4,0.68,-11.23
197811,2.71,3.02,-2.23,0.7,3.41
197812,0.88,1.25,-2.2,0.78,1.66
197901,4.23,3.65,2.29,0.77,5
197902,-3.56,0.44,1.21,0.73,-2.83
197903,5.68,3.2,-0.7,0.81,6.49
197904,-0.06,2.18,1.05,0.8,0.74
197905,-2.21,0.56,1.93,0.82,-1.39
197906,3.85,1.16,1.5,0.81,4.66
197907,0.82,1.31,1.69,0.77,1.59
197908,5.53,2.07,-1.54,0.77,6.3
197909,-0.82,-0.28,-0.91,0.83,0.01
197910,-8.1,-3.33,-1.87,0.87,-7.23
197911,5.21,2.73,-3.23,0.99,6.2
197912,1.79,4.22,-2,0.95,2.74
198001,5.51,1.68,1.81,0.8,6.31
198002,-1.22,-1.81,0.67,0.89,-0.33
198003,-12.9,-6.62,-1.08,1.21,-11.69
198004,3.97,0.94,1.14,1.26,5.23
198005,5.26,2.16,0.41,0.81,6.07
198006,3.06,1.67,-0.89,0.61,3.67
198007,6.49,4.25,-6.37,0.53,7.02
198008,1.8,3.92,-2.64,0.64,2.44
198009,2.19,0.85,-4.72,0.75,2.94
198010,1.06,2.43,-2.78,0.95,2.01
198011,9.59,-3.43,-8.4,0.96,10.55
198012,-4.52,-0.26,2.69,1.31,-3.21
198101,-5.04,3.01,6.86,1.04,-4
198102,0.56,-0.28,0.99,1.07,1.63
198103,3.56,3.65,0.66,1.21,4.77
198104,-2.1,4.41,2.27,1.08,-1.02
198105,0.11,1.98,-0.42,1.15,1.26
198106,-2.36,-0.84,5.13,1.35,-1.01
198107,-1.54,-2.21,-0.59,1.24,-0.3
198108,-7.03,-1.94,4.85,1.28,-5.75
198109,-7.17,-2.7,5.19,1.24,-5.93
198110,4.92,2.14,-4.21,1.21,6.13
198111,3.36,-0.99,1.91,1.07,4.43
198112,-3.65,1.15,0.74,0.87,-2.78
198201,-3.24,-1.44,3.14,0.8,-2.44
198202,-5.86,0.48,6.07,0.92,-4.94
198203,-1.87,-0.22,3.78,0.98,-0.89
198204,3.27,1.5,-2.8,1.13,4.4
198205,-3.99,0.46,1.83,1.06,-2.93
198206,-3.09,-0.4,1.54,0.96,-2.13
198207,-3.19,0.85,0.17,1.05,-2.14
198208,11.14,-4.09,1.18,0.76,11.9
198209,1.29,2.86,0.33,0.51,1.8
198210,11.3,2.38,-3.71,0.59,11.89
198211,4.67,4.8,-1.98,0.63,5.3
198212,0.55,-0.18,0.04,0.67,1.22
198301,3.6,2.72,-0.83,0.69,4.29
198302,2.59,3.27,0.72,0.62,3.21
198303,2.82,1.78,2.08,0.63,3.45
198304,6.67,0.52,0.62,0.71,7.38
198305,0.52,6.13,-1.41,0.69,1.21
198306,3.07,0.9,-3.92,0.67,3.74
198307,-4.07,1.47,5.65,0.74,-3.33
198308,-0.5,-4.29,5.55,0.76,0.26
198309,0.91,0.59,1.12,0.76,1.67
198310,-3.44,-3.6,5.08,0.76,-2.68
198311,2.16,2.04,-0.62,0.7,2.86
198312,-1.78,-0.29,1.66,0.73,-1.05
198401,-1.92,-0.44,7.6,0.76,-1.16
198402,-4.82,-1.7,3.35,0.71,-4.11
198403,0.63,0.07,0.49,0.73,1.36
198404,-0.51,-1.2,1.29,0.81,0.3
198405,-5.97,0.04,0.26,0.78,-5.19
198406,1.82,-0.32,-2.62,0.75,2.57
198407,-2.74,-2.22,0.49,0.82,-1.92
198408,10.28,-0.24,-1.85,0.83,11.11
198409,-0.8,0.2,5.33,0.86,0.06
198410,-0.84,-1.22,0.5,1,0.16
198411,-1.76,-0.6,4.08,0.73,-1.03
198412,1.84,-0.6,-0.16,0.64,2.48
198501,7.99,3.27,-5.44,0.65,8.64
198502,1.22,0.76,-0.11,0.58,1.8
198503,-0.84,-1.17,4.1,0.62,-0.22
198504,-0.96,0.15,3.73,0.72,-0.24
198505,5.09,-2.24,-0.85,0.66,5.75
198506,1.27,0.62,0.62,0.55,1.82
198507,-0.74,2.85,-1.68,0.62,-0.12
198508,-1.02,-0.35,2.27,0.55,-0.47
198509,-4.54,-1.59,1.33,0.6,-3.94
198510,4.02,-1.56,0.79,0.65,4.67
198511,6.48,0.23,-2.93,0.61,7.09
198512,3.88,-0.51,-1.59,0.65,4.53
198601,0.65,1.23,0.55,0.56,1.21
198602,7.13,-0.64,-0.93,0.53,7.66
198603,4.88,-0.53,-0.44,0.6,5.48
198604,-1.31,2.84,-2.93,0.52,-0.79
198605,4.62,-1.32,-0.11,0.49,5.11
198606,1.03,-0.9,1.41,0.52,1.55
198607,-6.45,-3.33,4.84,0.52,-5.93
198608,6.07,-4.2,3.48,0.46,6.53
198609,-8.6,2.28,3.22,0.45,-8.15
198610,4.66,-2.41,-1.23,0.46,5.12
198611,1.17,-1.93,-0.08,0.39,1.56
198612,-3.27,0.09,0.33,0.49,-2.78
198701,12.47,-1.8,-3.17,0.42,12.89
198702,4.39,3.48,-5.98,0.43,4.82
198703,1.64,0.37,1.59,0.47,2.11
198704,-2.11,-1.69,-0.31,0.44,-1.67
198705,0.11,-0.52,0.17,0.38,0.49
198706,3.94,-2.21,1.01,0.48,4.42
198707,3.85,-0.7,0.63,0.46,4.31
198708,3.52,-0.74,-0.91,0.47,3.99
198709,-2.59,0.52,0.28,0.45,-2.14
198710,-23.24,-8.38,4.29,0.6,-22.64
198711,-7.77,2.78,3.14,0.35,-7.42
198712,6.81,0.14,-4.48,0.39,7.2
198801,4.21,-0.76,5.09,0.29,4.5
198802,4.75,3.33,-1.68,0.46,5.21
198803,-2.27,6.13,0.71,0.44,-1.83
198804,0.56,0.96,1.68,0.46,1.02
198805,-0.29,-2.63,2.31,0.51,0.22
198806,4.79,2.16,-1.07,0.49,5.28
198807,-1.25,-0.21,2.26,0.51,-0.74
198808,-3.31,0.12,2.17,0.59,-2.72
198809,3.3,-1.33,-0.7,0.62,3.92
198810,1.15,-2.89,1.72,0.61,1.76
198811,-2.29,-1.77,1.21,0.57,-1.72
198812,1.49,1.89,-1.42,0.63,2.12
198901,6.1,-2.12,0.53,0.55,6.65
198902,-2.25,2.78,0.94,0.61,-1.64
198903,1.57,0.74,0.49,0.67,2.24
198904,4.33,-0.55,-1.45,0.67,5
198905,3.35,0.04,-0.74,0.79,4.14
198906,-1.35,-1.01,2.18,0.71,-0.64
198907,7.2,-4.02,-2.87,0.7,7.9
198908,1.44,0.47,0.7,0.74,2.18
198909,-0.76,0.3,-1.28,0.65,-0.11
198910,-3.67,-3.26,-1.02,0.68,-2.99
198911,1.03,-1.28,-1.09,0.69,1.72
198912,1.16,-2.38,0.27,0.61,1.77
199001,-7.85,-1.3,0.81,0.57,-7.28
199002,1.11,1.02,0.63,0.57,1.68
199003,1.83,1.52,-2.91,0.64,2.47
